,sentence,joy,anticipation,fear,surprise,anger,sadness,trust,disgust
28,The company had not been doing so well lately.,0,1,1,0,0,1,0,0
29,They both had never been to an actual play before.,1,1,0,1,0,0,1,0
30,Ben bullied everyone around him.,0,0,1,0,1,1,0,1
31,Bob was getting married this weekend.,1,1,0,0,0,0,0,0
32,Mary wanted to find the perfect gift for her granddaughter.,1,1,0,0,0,0,0,0
33,He had a cooler full of frozen items in ice in the back of the car.,0,1,1,0,0,0,0,0
34,And he was offered several apples for free.,1,0,0,0,0,0,0,0
35,Craig was wandering along the seashore after a breakup.,0,0,0,0,0,1,0,0
36,The two of them decided they would come back next week to hunt again.,0,1,1,1,0,1,0,0
37,"But there, on her phone, was her promised text!",1,1,0,1,0,0,1,0
38,"Next time they hold tryouts, Martha is going to go.",1,1,1,0,0,0,0,0
39,"Finally, she poured the batter into muffin cups.",1,1,0,0,0,0,1,0
40,He e-mailed links to his writing portfolio to some rich alumnus.,1,0,1,1,1,1,1,1
41,He saved up his money.,1,1,0,0,0,0,0,0
42,He said that it's most made of crabs and turtles.,0,0,0,1,0,0,0,1
43,She was shocked and from then on always conserved energy.,0,0,0,0,1,1,0,1
44,She had a hard time making friends with the residents.,0,0,1,0,0,1,0,0
45,Lana wanted a job in entertainment.,1,1,0,1,0,0,1,0
46,Lucy was bored so she decided to put on makeup.,0,1,0,0,0,0,0,0
47,Soon the pain was accompanied by nausea.,0,0,1,0,1,1,0,1
48,The scarf kept her warm.,1,0,0,0,0,0,0,0
49,John bet a hundred dollars that the Steelers would win.,1,1,0,0,0,0,1,0
50,He went to see a psychologist to talk about it.,0,1,1,1,0,1,0,0
51,He loved his desk a lot.,1,0,0,0,0,0,0,0
52,I wanted to play with my favorite ball at recess.,1,1,0,0,0,0,1,0
53,Oh Halloween she have them matching costumes - Aquaman costumes!,1,1,0,0,0,0,0,0
54,She had become the bad guy of the office very fast by her behavior.,1,1,0,0,0,0,0,0
55,"Despite this, my husband decided to invite them to dinner.",0,1,1,1,1,1,0,1
56,Susie was so hungry.,0,1,0,0,0,1,0,0
57,Twas the night before christmas.,0,0,0,0,0,0,0,0
58,Jane opened all the doors and the bee flew out of the car.,1,1,1,1,0,0,0,0
59,She had no idea what to do.,0,1,1,0,0,1,0,0
60,Mary got to the meat section and found turkey on sale.,1,0,0,1,0,0,0,0
61,Jack always used Vaseline for his dry skin.,1,0,0,0,0,0,1,0
62,I intend to watch a movie a day.,1,1,0,0,0,0,1,0
63,He sat in a chair and did not move for 10 hours per day.,0,0,0,0,0,0,0,0
64,She arrived the day of the sale to find her size was gone.,0,0,0,0,0,1,0,0
65,David was walking home from school.,1,1,0,0,0,0,0,0
66,Stu had seriously miscalculated the time his trip would take.,0,0,1,1,1,1,0,0
67,He asked why I was there and who else was there because of me.,1,1,0,1,0,0,0,0
68,Jim went as a reporter for the school paper.,1,1,0,0,0,0,1,0
69,He decided to look on Craigslist for deals.,0,1,0,0,0,0,1,0
70,Ann rushed to her neighbors' to sell.,0,1,1,0,0,0,0,0
71,Al hurried home from work early.,0,1,0,0,1,0,0,0
72,I kept my keys and my cellphone in my pockets.,0,1,0,0,0,0,0,0
73,His second gift is a certificate for a star named Ollie.,1,1,0,0,0,0,0,0
74,"When he cooked my a huge breakfast, I decided he could stay.",1,0,0,0,0,0,1,0
75,He got his favorite part.,1,1,0,0,0,0,0,0
76,She couldn't get it to work again.,0,1,0,1,1,1,0,1
77,Tina was listening to a radio show.,1,1,0,0,0,0,1,0
78,John told them he wasn't scheduled.,0,0,0,1,1,0,0,1
79,I ended up being a half hour late.,0,0,1,1,0,1,0,1
80,They spent a few days taking pictures of all the animals they saw.,1,0,0,1,0,0,0,0
81,John got home and dug into the chips and salsa.,1,1,0,0,0,0,0,0
82,The driver of the car shoots at Terrence's son.,0,1,1,1,1,1,0,1
83,It tasted so awful I had to spit.,0,0,0,1,1,0,0,1
84,Amy suggested to Ray he call her over the weekend.,1,1,1,0,0,0,1,0
85,Yesterday was Lauren's Birthday.,1,1,0,1,0,0,1,0
86,So Carlos gathered money and bought tickets.,1,0,0,0,0,1,0,0
87,Jimmy went to lunch with his boss for the first time.,1,1,1,0,0,0,1,0
88,"However, Ryan did poorly on his classes throughout the semester.",0,1,1,1,1,1,0,1
89,The Chicago Bulls went 72-10 one season on their way to a title.,1,0,0,1,0,0,1,0
90,"Once the box was open, Tim saw the pieces of a broken metal-detector.",0,0,0,1,0,1,0,0
91,He decided to order a pizza.,1,1,0,0,0,0,0,0
92,It made me feel a lot better.,1,0,0,0,0,0,1,0
93,I went to buy my hat at the mall.,1,1,0,0,0,0,0,0
94,When my mom passed we had to decide what to do with it.,0,1,0,0,0,1,0,0
95,It frustrated his wife.,0,0,1,0,1,1,0,1
96,Zeke wanted to become the senator of Texas.,1,1,0,0,0,0,1,0
97,"As it was intruding on her property, Jill sued him in court and won.",0,0,0,1,1,0,0,1
98,His doctor had news for him.,0,1,1,0,0,0,0,0
99,One morning Jen felt very sick.,1,1,1,1,0,0,0,0
100,Larry's printer has stopped working.,0,1,1,1,1,1,0,1
101,The car immediately began to spin off the road.,0,1,1,1,0,0,0,0
102,Billy decided that the likes were not for her but for the articles.,0,1,0,1,0,1,0,0
103,"Suddenly, he bumped one of the back tires.",0,0,1,0,0,0,0,0
104,The police found the bike though and Ben was happy.,1,0,0,0,0,0,0,0
105,Jackie's brothers stared.,1,1,0,1,0,0,0,0
106,They boys were upset when they saw the shirts.,0,0,0,0,0,1,0,0
107,The toughest gal around wanted to fight.,0,1,1,0,1,0,0,0
108,She wanted to impress her bosses and get a performance bonus.,1,1,0,0,0,0,0,0
109,His house was so cold and he couldn't bear it.,0,0,0,0,0,1,0,0
110,Abby could not wait to go to her second day of acting class tomorrow.,1,1,0,1,0,0,1,0
111,"He is very friendly, especially to kids.",1,1,0,1,0,0,1,0
112,I used my cell phone to check the coupons in my account.,1,1,0,0,0,0,1,0
113,His instructor shook his head disappointingly.,0,0,1,1,1,1,0,0
114,He refused to sit on the toilet.,0,0,0,0,0,0,1,0
115,Randy calls them up and orders a pizza.,1,1,0,0,0,0,0,0
116,I stood in line forever.,0,1,0,0,1,1,0,1
117,"Only when she left, did Marie let her tears fall down her cheeks.",0,0,0,0,0,1,0,0
118,Kelly really wanted her ears pierced.,0,1,1,0,0,0,0,0
119,He'd been in the life raft for days.,0,1,1,1,0,1,1,0
120,Paul is a very creative and artistic person.,1,1,0,0,0,0,1,0
121,I panicked and went back inside and called my power department.,0,1,1,1,0,1,0,0
122,It was a robin.,1,0,0,0,0,0,1,0
123,Von never seemed to figure out where his pickle juice went.,0,0,1,1,1,1,0,1
124,Sabrina was in a hurry.,0,1,0,0,0,0,0,0
125,Tom was both amazed and humbled at his dad.,1,0,0,1,0,0,1,0
126,"When she got to school, she fell asleep at her desk.",0,0,1,1,0,0,0,0
127,That made the boy more afraid.,0,1,1,1,0,0,0,0
128,"After a long, fun afternoon Tom went home happy.",1,0,0,0,0,0,1,0
129,As soon as they got there they started picking.,1,1,0,1,0,0,1,0
130,I drove up and the man asked me to pick my berries.,1,1,0,1,0,0,1,0
131,"Running to the door, she decided to be sure.",1,1,0,1,0,0,0,0
132,I accidentally bumped it.,0,0,0,1,0,1,0,0
133,Her mother stood over her scowling.,0,1,1,1,0,0,0,0
134,John feared for his life and ran inside.,0,0,1,0,0,0,0,0
135,She stayed up all night dreading the interview.,0,1,1,0,0,0,0,0
136,Her eyes were getting weaker.,0,0,1,0,0,1,0,0
137,His wife took him to the hospital.,0,0,1,0,1,1,0,0
138,I had a big match with a group of very good players.,0,1,1,0,0,0,0,0
139,The seal will be replaced tomorrow.,1,1,0,1,1,1,1,1
140,"Meagan didn't think she could do it right, but Melody was determined.",0,1,1,1,0,0,0,0
141,They told him he needed to move out.,0,1,1,1,1,1,0,1
142,His mom took him to the hospital.,0,0,1,1,0,1,0,0
143,Kelly heard about Ella's New Year's party.,1,0,0,1,0,0,0,0
144,Fargo was a kid.,1,0,0,0,0,0,0,0
145,The girl and the new tree grew up together.,1,1,0,0,0,0,1,0
146,He felt bad about the vendor so he returned and bought a candle.,0,0,0,0,0,0,0,0
147,Cleo was visiting his friend out of state.,1,1,0,0,0,0,0,0
148,Joan's co-worker showed the remarks to Joan's boss.,0,0,1,0,1,1,0,1
149,She heated up a can of beans.,1,1,0,0,0,0,1,0
150,Marcus loved to play video games with all of his friends.,1,1,0,0,0,0,1,0
151,"As soon as he got to the next bank, Walter was shot and killed.",0,0,0,0,0,1,0,0
152,Cat has a science test in the morning.,0,1,1,0,0,0,0,0
153,Stephanie had just bought a new bikini to wear for the beach.,1,1,0,0,0,0,1,0
154,The repair man fixed his computer but charged a lot of money.,0,0,0,1,1,1,0,0
155,I am not a happy person if I don't get my coffee.,0,1,1,0,1,1,0,1
156,He learned a lot about making things with wood.,1,1,0,0,0,0,1,0
157,I decided to try a Baptist church in my town.,1,1,0,0,0,0,1,0
158,He enjoyed his day off with his wife watching movies!,1,1,0,0,0,0,1,0
159,Skip doesn't know how to swim.,0,0,1,0,1,1,0,0
160,Jessica was about to go to the dance.,1,1,1,0,0,0,0,0
161,To get a better look she climbed the tree next to it.,1,1,0,1,0,0,1,0
162,Henrietta was trying to put a name to a face.,0,1,0,1,0,0,0,0
163,They fill the stores with excitement and fight over sales merchandise.,1,1,0,0,0,0,0,0
164,Her boyfriend agreed to teach her.,1,1,0,0,0,0,1,0
165,Hers was missing an exterior door key.,0,0,0,1,0,0,0,0
166,"When the paramedics got there, his gallery-owner neighbor came, too.",0,0,1,1,0,1,0,0
167,The sunglasses were badly ruined.,0,0,0,0,0,1,0,1
168,He picked out a couple different colors and started filling them.,1,1,0,1,0,0,1,0
169,I was happily able to do so.,1,1,0,1,0,0,1,0
170,It was in it's cocoon for a long time.,0,1,1,0,1,1,0,0
171,Mary and Ted found out they were expecting a baby.,1,1,0,1,0,0,1,0
172,Gale found the dog barking at the cat in a tree.,0,1,1,1,0,0,0,0
173,Stan drove him to the hospital when he fell ill.,0,1,1,1,0,1,0,0
174,She secretly switched him to decaffeinated coffee.,1,1,0,0,0,0,1,0
175,I fashioned my vows after a business plan.,1,1,0,0,0,0,1,0
176,She was a well trained athlete.,1,1,0,0,0,0,0,0
177,Donald was a senator.,1,0,0,0,0,0,1,0
178,Lamar told a friend musician Lamar was moving to Hollywood.,1,1,0,0,0,0,1,0
179,He was rushed to the hospital by the employees and went into a coma.,0,1,1,0,0,1,0,1
180,Shane's landlord was trying to force him to move out.,0,1,1,1,1,1,0,1
181,Amy did not like how this felt.,0,0,1,0,0,0,0,0
182,"When he found out he got an A, he thanked Mike for his help.",1,0,0,1,0,0,0,0
183,Sally's friends do not like that she works so much.,0,0,0,0,0,1,0,0
184,Jimmy's boss wanted to have sushi.,1,1,0,1,0,0,0,0
185,His father tried to show him different ways to do it.,1,1,0,0,0,0,1,0
186,Forest was doing construction work.,1,0,0,0,0,0,0,0
187,"Twenty four students went into the theater, but only 22 came out.",0,1,1,1,0,0,0,0
188,Matthew got a big kiss from his girlfriend in return.,1,0,0,1,0,0,1,0
189,Matthew found out that his savings wasn't enough for his tuition.,0,1,1,1,0,1,0,0
190,I looked out the window and saw it was raining very heavily.,0,0,0,1,1,1,0,0
191,Paul needed a job so he went into a store to ask for work.,1,1,1,0,0,0,1,0
192,Tina never woke up from her coma.,0,0,1,0,0,0,0,0
193,They finished the treehouse within two weeks.,1,1,0,1,0,0,1,0
194,"He decided he should go get his friend a good gift, too.",1,0,0,0,0,0,0,0
195,His friends became tired of hearing about the boat.,0,0,0,0,0,1,0,0
196,My aunt lives on an island in Lake Michigan.,0,0,0,0,0,0,0,0
197,Blake eventually ran out of money.,0,0,0,0,0,1,0,1
198,"In addition, several applications opened up.",0,1,1,1,1,1,0,1
199,He was their starting pitcher.,1,1,0,0,0,0,1,0
200,He decided to make a budget for all of his expenses.,0,0,0,0,0,0,1,0
201,I went to the office to follow up with my appointment.,0,1,0,0,0,0,0,0
202,Then she noticed that her tub was filthy and full of grime.,0,0,0,1,1,1,0,1
203,He took shelter from the storm under the deck!,0,1,1,1,0,0,1,0
204,"All of them said working, so I just sighed and said okay.",0,0,0,0,0,1,0,0
205,She worried she'd somehow mess up and make things hard for Nancy.,0,1,1,1,0,0,0,0
206,Tina ended up winning the race since the other two fell.,0,0,0,1,1,0,0,1
207,She dies slowly with nobody to help her.,0,0,0,0,0,1,0,0
208,"During the presidential race, it caused his blood pressure to rise.",0,0,0,0,1,0,0,1
209,Two weeks later she saw a young one that could be the same one.,1,0,0,0,0,0,1,0
210,He laughed at her and asked when dinner would be ready.,0,0,0,1,1,1,0,0
211,My husband and I were sad that our dog had died.,0,1,1,1,1,1,0,1
212,At first she thought she wouldn't like it but she loved it.,1,1,0,1,0,0,1,0
213,His wife said that she accidentally sold them at a garage sale.,0,0,0,0,0,1,0,0
214,He was a simple man and he usually did not want much.,0,1,1,1,0,0,0,0
215,They started referring to Doug as Dingy Boy.,0,1,1,1,1,1,0,1
216,But it turned out to be anything but!,0,0,0,1,1,1,0,0
217,Now Joey is a terrific dancer.,1,1,0,0,0,0,1,0
218,They decided to run around in a hotel.,1,1,1,1,0,0,0,0
219,Karen was very satisfied and full.,1,1,0,0,0,0,1,0
220,When I was in middle school I always walked to the bus stop.,1,1,0,0,0,0,1,0
221,The new bag is much stronger and she receives many compliments.,1,1,0,0,0,0,1,0
222,One day Sue asked Amy to come to a party she invited Beth to as well.,0,0,0,1,0,0,0,0
223,Sam ran to the pet store and bought a new fish.,1,0,0,1,0,0,0,0
224,At twenty-one I met a model from India.,1,1,0,1,0,0,1,1
225,Ben watches the show until it ends and then goes to bed.,1,0,0,0,0,0,0,0
226,Max suddenly heard the alarm go off.,0,1,1,1,1,1,0,1
227,His favorite was the dinosaur exhibit.,1,1,0,0,0,0,0,0
228,Then I got the guts to go on it.,0,1,1,0,0,0,1,0
229,Ron generously spent money on snacks in anticipation of the movie.,1,1,0,0,0,0,0,0
230,Andy realized he only had 10 minutes before his mother got home.,0,1,1,1,0,0,0,0
231,Everything said it might take a year but she tried again in months.,0,1,1,0,1,1,0,0
232,The father's card was declined.,0,1,0,1,0,1,0,0
233,She was sad to see her grandmother for the last time.,0,1,0,0,0,1,0,0
234,Karen decided to text that question to her sister.,0,1,0,0,0,0,0,0
235,I remembered that none of us had sleepovers growing up.,0,0,0,1,0,1,0,0
236,Alan got an A on the paper.,1,1,0,0,0,0,1,0
237,Hank had to wrap a lot of gifts for his family.,0,1,1,0,0,1,0,0
238,They were large and troublesome to reach.,0,1,0,0,1,0,0,1
239,And they could never find a compromise for anything.,0,0,1,1,1,1,0,0
240,I did not want to give them to him.,0,0,0,0,1,1,0,1
241,He got an F and deserved it.,0,0,0,0,0,1,0,1
242,Cindy dreamed of going to a good college.,1,1,0,0,0,0,1,0
243,She passed it on to Fred.,0,0,0,0,0,1,0,0
244,She skimmed the menu to make sure she knew what she wanted.,0,1,0,0,0,0,1,0
245,Robert needed a calendar to organize his time.,0,1,0,0,0,0,0,0
246,They found that the wedding was going to cost ten thousand dollars.,0,0,1,1,0,1,0,0
247,"She tried a different store, but it was too expensive.",0,0,0,0,1,1,0,1
248,"Julia loved her mom's clothes, but was never allowed to wear them.",0,0,0,0,0,1,0,0
249,Tom and Marc are hungry.,0,1,0,0,0,1,0,1
250,Andrew finally received his paycheck.,1,1,0,0,0,0,0,0
251,Jen looked up.,0,1,1,1,0,0,0,0
252,Betty decided to go to the doctor to get her health checked out.,0,1,1,0,0,0,0,0
253,"All day at school, Jan tried to avoid her sister.",0,1,1,0,0,0,0,0
254,She couldn't concentrate on her work.,0,1,1,0,1,1,0,1
255,He enjoyed riding the bike often.,1,0,0,0,0,0,0,0
256,She bought a very intimate costume.,1,1,0,0,0,0,0,0
257,"One day, Bob's dog ran out the door as Bob was leaving the house.",0,1,1,1,0,1,0,0
258,They went to the doctor for the boy's rash from the harsh chemicals.,0,1,1,1,0,1,0,0
259,But no one at school wanted to play with him,0,0,0,1,0,1,0,0
260,Oscar decided that he must get a job to be able to pay rent.,0,1,0,0,0,0,0,0
261,"Already in their bathing suits, the family played in the rain instead.",1,0,0,0,0,0,0,0
262,Manny can hardly believe his sons are in high school now.,1,0,0,1,0,1,0,0
263,Ken was asked to give a speech at his local college.,1,1,1,1,0,0,0,0
264,Julian was afraid of storms.,0,0,1,1,0,1,0,0
265,He played a round of golf to relax before the ceremony.,1,1,1,1,0,0,0,0
266,Irena was so excited!,1,1,0,1,0,0,0,0
267,Leslie was the boss at a branch of a large retail company.,0,1,0,0,0,0,0,0
268,They were so good that they were told to enter a contest.,1,0,0,1,0,0,1,0
269,"Last weekend, she was in a hurry and stepped right off a curb.",0,0,0,1,0,0,0,0
270,"When she opened the prize in the box, there was a diamond ring.",1,1,0,0,0,0,1,0
271,One guest had not by the appointed start of dinner.,0,1,0,1,1,0,0,0
272,He swung and hit the table instead.,0,0,0,1,0,1,0,0
273,I had to shoo him away since he was scaring my dog.,0,0,1,1,1,0,0,0
274,Eli waved his arms and as it came towards him.,1,1,0,1,0,0,1,0
275,She asked her teacher if she could call her mom to go home.,0,0,1,0,0,1,0,0
276,I went to the store looking for a new phone case.,0,1,0,0,0,0,0,0
277,He surprised her after work with the chocolates.,1,0,0,1,0,0,0,0
278,"Bill went to the church and stood at the front, waiting for his bride.",1,1,1,0,0,0,1,0
279,The owner let the cat out.,0,0,0,0,0,0,1,0
280,She dialed the manager and let him know that she was on her way.,0,0,0,1,1,1,0,0
281,"However, everybody knew he never tried them on to begin with.",1,0,0,0,0,0,0,1
282,The Jones family went on vacation.,1,1,0,0,0,0,0,0
283,Tamara shrieked and ran back up the stairs.,0,1,1,1,0,0,0,1
284,"Julie is sad, but has always wanted to visit Spain.",0,1,0,1,1,1,0,0
285,"When he was asked to jump from a bridge, he was on board.",0,1,1,0,0,0,0,0
286,"They each moved away for school, and then life.",0,0,0,0,0,1,0,0
287,He ordered fancy champagne and a steak dinner.,1,1,0,1,0,0,1,0
288,She had finally saved enough for a plane ticket to get there.,1,1,0,0,0,0,0,0
289,He decided to file for unemployment.,0,0,0,0,0,1,0,0
290,He couldn't stand it anymore and decided to do something about it.,0,1,1,1,1,1,0,0
291,She really wanted to see her child.,0,1,1,1,0,1,0,0
292,She tried not to panic when her hand became stuck to the table.,0,0,1,1,1,1,0,0
293,My team had the ball and I got the pass.,1,1,0,1,0,0,1,0
294,Travis wanted a new bike.,0,1,0,0,0,0,0,0
295,They giggled and whispered and tried to be quiet.,1,0,0,0,0,0,1,0
296,Some nice girls came up and sat with her.,1,0,0,0,0,0,1,0
297,He had to sell off most of his land to survive.,0,0,0,1,0,1,0,1
298,Tom entered his office's chili cooking contest.,1,1,0,0,0,0,0,0
299,Carl thanked his seeing-eye dog immensely for saving his life.,1,0,0,0,0,0,1,0
300,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,0,1,0,0,1,0,0
301,Finally after 2 years we met each other.,1,0,0,0,0,0,0,0
302,I saw some while out on a drive today.,1,0,0,1,0,0,0,0
303,Kate told her friends they should all get collies as well.,1,1,0,0,0,0,1,0
304,They found one at a dollar movie theatre.,1,1,0,0,0,0,1,0
305,Bill was sure there was a monster hiding in his closet.,0,1,1,0,0,0,0,0
306,The trainer gave him encouragement.,1,0,0,0,0,0,1,0
307,It melted all over everything.,0,0,0,0,1,1,0,1
308,Now she encourages others to reach out and volunteer to get involved.,1,1,0,0,0,0,1,0
309,Her teacher saw Holly napping.,0,1,1,0,0,1,0,0
310,"Lucy was surprised, but pleased when she agreed to drive her.",1,1,0,1,0,0,1,0
311,Jill wanted to go mountain climbing.,1,1,0,0,0,0,0,0
312,I joined a local baseball team so I could learn how to play baseball.,1,1,1,0,0,0,1,0
313,Monday morning Mark went up to the office and shot everyone.,0,0,1,1,1,1,0,1
314,He had tried learning before but had always failed.,0,1,1,0,1,1,0,1
315,Corey had bought a new pair of sunglasses.,1,0,0,0,0,0,1,0
316,They went to a nice restaurant instead and had a great time.,1,1,0,1,0,0,1,0
317,Floyd was enjoying a summer day of inspecting cicada shells.,1,1,0,0,0,0,0,0
318,I decided to make homemade jerky.,1,0,0,1,0,0,1,0
319,She was very good at bowling.,1,0,0,0,0,0,0,0
320,Someone handed him a flyer.,0,0,0,1,1,0,0,0
321,He would win the school's local spelling bee's with ease and grace.,1,0,0,0,0,0,1,0
322,The next day he saw that many fish died.,0,0,0,1,1,1,0,0
323,And her head felt more clear.,1,1,0,0,0,0,0,0
324,Instead Tom wound up gaining weight.,0,0,0,0,1,1,0,0
325,He found a patch of wild morel mushrooms.,0,0,0,1,0,0,0,0
326,Ryan's girlfriend was surprised and accepted his proposal happily.,1,1,1,1,0,0,1,0
327,He had been using last year's.,0,0,0,1,0,1,0,1
328,He added a bit of spices and that was it.,0,1,1,0,0,0,0,0
329,The music teacher was impressed and accepted them into the choir.,1,0,0,1,0,0,0,0
330,So Fred and his family went to an authentic Italian restaurant.,1,1,0,0,0,0,1,0
331,He was 24 and still couldn't tie his shoe due to his hands twitching.,0,0,0,0,1,1,0,1
332,Sarah and her family were anxious to get in the gate.,1,1,1,1,0,0,0,0
333,She decided to take a long overdue break to rejuvenate her mind.,1,1,0,1,0,0,0,0
334,Poor Kellan had to beat on the door until his mom finally heard him.,0,0,0,1,0,0,0,0
335,She ate the whole thing!,1,1,0,1,0,0,1,0
336,He got on the train and settled in for the ride.,1,1,0,0,0,0,0,0
337,I was angry when a seagull stole my unfinished ice cream cone.,0,0,1,1,1,1,0,1
338,It took me hours to shovel out.,0,0,0,0,0,0,0,1
339,Wearing the apron made her feel like a great chef.,1,1,0,0,0,0,0,0
340,Months later I was able to reach my goal.,1,1,0,0,0,0,1,0
341,It turned out to be a fiber optic cable supplying internet and TV.,1,0,0,1,0,0,1,0
342,A sign in the back caught her eye and she went toward it.,1,1,0,1,0,0,1,0
343,The doctor gave Katrina several treatments.,1,1,1,0,0,1,1,0
344,I soon forgot about the ocarina in 1975.,0,0,0,1,0,1,0,0
345,She usually will make those and some avocado salsa to go with.,1,1,0,0,0,0,1,0
346,One of his rockets accidentally exploded during a flight.,0,0,1,1,1,0,0,1
347,I stole a chocolate bar from the store.,0,1,1,0,0,0,0,1
348,He decided to go to the All Aboard Diner for dinner instead.,1,0,0,0,0,0,0,0
349,Now Fern and Bean Sprout live together like best friends.,1,0,0,0,0,0,0,0
350,"George won his first title fight by knockout, and was very happy.",1,0,0,1,0,0,0,0
351,I walked down the beach looking for shells.,1,1,0,0,0,0,0,0
352,"My wife said, our son is the one who wants the dog.",0,1,0,1,0,0,0,0
353,I used to think my parents weren't very smart.,0,1,1,1,1,1,0,1
354,And this year she got alot.,1,0,0,1,0,0,1,0
355,Kate was in the middle of a blackout.,0,1,1,1,0,0,0,0
356,She finished her garden and loved it.,1,1,0,1,0,0,1,0
357,Ian was nervous to go on the splash mountain ride.,0,1,1,1,0,0,0,0
358,He enjoyed the service very much.,1,0,0,0,0,0,1,0
359,She sat down and began untangling everything.,1,1,0,0,0,0,0,0
360,Jay wanted to make extra cash,1,1,0,0,0,0,1,0
361,He finally was early to something.,1,0,0,1,0,0,0,0
362,She was relieved to see it was just what she needed.,1,0,0,1,0,0,1,0
363,He got a call the next day saying he got the role.,1,1,0,1,0,0,0,0
364,Alex realized that it was time to seek a new job.,0,0,0,1,0,1,0,0
365,Two boys had knocked all my books out of my arms in the hallway.,0,0,0,0,1,1,0,0
366,At the park he sees many people.,1,0,0,0,0,0,1,0
367,He ended up failing his test.,0,0,0,0,1,1,0,1
368,He went to the local store with his family to look.,1,1,0,0,0,0,0,0
369,"Since he stretched too hard, he dislocated his left arm.",0,0,1,0,0,1,0,0
370,He really liked a girl at the dance.,1,1,1,1,0,0,0,0
371,"With arms locked, and armed with smiles, we walked inside the fair.",1,1,0,1,0,0,1,0
372,His house was in a very rural part of the country.,0,0,0,0,0,1,0,0
373,He tried giving it to her during lunch at school.,1,1,1,0,0,0,0,0
374,Soon Mark felt a tug on his line and struggled to reel it in.,1,1,0,1,0,0,0,0
375,Walt had solved the murder!,1,0,0,0,0,0,1,0
376,"After a few hours of practice, Jill went down a beginner trail.",1,1,0,0,0,0,0,0
377,She had played with many famous violinists throughout her career.,1,0,0,0,0,0,1,0
378,Gia and Tilly became lovers.,1,1,0,0,0,0,1,0
379,Josh cut his hand on the knife.,0,0,1,1,1,0,0,0
380,He got onto the stage and began to play.,1,1,1,0,0,0,1,0
381,Debbie enrolled in culinary school.,1,1,0,0,0,0,0,0
382,Tim wasn't expecting anybody.,0,1,0,0,0,0,0,0
383,This led to Brown studying very hard.,1,0,0,0,0,0,0,0
384,"One day, his friend came over and tried a cookie.",1,1,0,0,0,0,1,0
385,He then realized that Molly was the one who stunk!,0,0,0,1,0,0,0,1
386,The girl he liked read the letter and was quite revolted.,0,0,0,1,0,0,0,1
387,Charles contacted the seller.,1,1,0,1,0,0,1,0
388,"When he went to work, he had to skip the meeting.",0,0,1,1,1,1,0,0
389,Years later my son picked it up and taught himself how to play.,1,0,0,1,0,0,1,0
390,The cow fell asleep.,1,0,0,0,0,0,0,0
391,It sold for $20.,1,0,0,1,0,0,0,0
392,I was doing an mTurk hit on images.,0,0,0,0,0,0,0,0
393,He went to the pet store.,1,1,0,0,0,0,0,0
394,"After fixing the position, my wrists no longer hurt!",1,1,0,1,0,0,0,0
395,"Unfortunately, she got in so late that most places were closed.",0,0,1,1,1,1,0,1
396,Soon after taking the penny he starts having his luck change.,1,1,0,1,0,0,1,0
397,He thought the shows would make playing more enjoyable.,1,1,0,1,0,0,0,0
398,"My little brother jumped out of the closet, scaring me to death.",0,0,1,1,1,0,0,0
399,"She grew tomatoes, corn, and other healthy vegetables.",1,0,0,0,0,0,0,0
